"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","0","Login functionality","1","0","Valid login - Performance glitch user","0"
"0","Authentication","0","Login functionality","1","0","Invalid login - Invalid password","0"
"0","Authentication","0","Login functionality","1","0","Valid login - Problem user","0"
"0","Authentication","0","Login functionality","1","0","Valid login","0"
"0","Authentication","0","Login functionality","1","0","Valid login - Visual user","0"
"0","Authentication","0","Login functionality","1","0","Valid login - Error user","0"
"0","Authentication","0","Login functionality","1","0","Logout","0"
"0","Authentication","0","Login functionality","1","0","Invalid login - Both fields empty","0"
"0","Checkout","1","Checkout Flow","0","0","Checkout process","0"
"0","Authentication","0","Login functionality","1","0","Invalid login - Empty username","0"
"0","Authentication","0","Login functionality","1","0","Invalid login - Invalid username","0"
"0","Authentication","0","Login functionality","1","0","Invalid login - Locked out user","0"
"0","Authentication","0","Login functionality","1","0","Invalid login - Empty password","0"
