"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","Verify login error for invalid username","SauceDemoSuite","Mon Mar 23 09:46:48 UTC 2026","passed","Mon Mar 23 09:46:49 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidUsername"
"","427","Verify user can logout successfully","SauceDemoSuite","Mon Mar 23 09:46:58 UTC 2026","passed","Mon Mar 23 09:46:58 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLogout"
"","272","Verify login with visual user","SauceDemoSuite","Mon Mar 23 09:46:57 UTC 2026","passed","Mon Mar 23 09:46:57 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithVisualUser"
"","298","Verify login error for empty password","SauceDemoSuite","Mon Mar 23 09:46:45 UTC 2026","passed","Mon Mar 23 09:46:45 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyPassword"
"","253","Verify login error message for locked out user","SauceDemoSuite","Mon Mar 23 09:46:49 UTC 2026","passed","Mon Mar 23 09:46:49 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithLockedOutUser"
"","269","Verify login with problem user","SauceDemoSuite","Mon Mar 23 09:46:56 UTC 2026","passed","Mon Mar 23 09:46:56 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithProblemUser"
"","238","Verify login error for empty username","SauceDemoSuite","Mon Mar 23 09:46:46 UTC 2026","passed","Mon Mar 23 09:46:46 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithEmptyUsername"
"","260","Verify login error for invalid password","SauceDemoSuite","Mon Mar 23 09:46:48 UTC 2026","passed","Mon Mar 23 09:46:48 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithInvalidPassword"
"","547","Verify login with error user","SauceDemoSuite","Mon Mar 23 09:46:46 UTC 2026","passed","Mon Mar 23 09:46:47 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithErrorUser"
"","294","Verify successful login with standard user","SauceDemoSuite","Mon Mar 23 09:46:59 UTC 2026","passed","Mon Mar 23 09:46:59 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testSuccessfulLoginWithStandardUser"
"","5302","Verify login with performance glitch user","SauceDemoSuite","Mon Mar 23 09:46:50 UTC 2026","passed","Mon Mar 23 09:46:55 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithPerformanceGlitchUser"
"","969","Verify successful checkout flow","SauceDemoSuite","Mon Mar 23 09:47:00 UTC 2026","failed","Mon Mar 23 09:47:01 UTC 2026","com.saucedemo.tests.CheckoutTest","LoginAndCheckoutTests","com.saucedemo.tests.CheckoutTest","testSuccessfulCheckout"
"","550","Verify login error when both fields are empty","SauceDemoSuite","Mon Mar 23 09:46:43 UTC 2026","passed","Mon Mar 23 09:46:44 UTC 2026","com.saucedemo.tests.LoginTest","LoginAndCheckoutTests","com.saucedemo.tests.LoginTest","testLoginWithBothFieldsEmpty"
